time,open,high,low,close,"VN100TRI, HOSE: Open","VN100TRI, HOSE: High","VN100TRI, HOSE: Low","VN100TRI, HOSE: Close","VN30TRI, HOSE: Open","VN30TRI, HOSE: High","VN30TRI, HOSE: Low","VN30TRI, HOSE: Close","VNMIDCAPTRI, HOSE: Open","VNMIDCAPTRI, HOSE: High","VNMIDCAPTRI, HOSE: Low","VNMIDCAPTRI, HOSE: Close",Volume,Volume MA,RSI,K,D
2016-04-06T09:00:00+07:00,747.60999,747.60999,747.60999,747.60999,574.08002,574.08002,574.08002,574.08002,588.78003,588.78003,588.78003,588.78003,756.19,756.19,756.19,756.19,NaN,NaN,NaN,NaN,NaN
2016-04-07T09:00:00+07:00,753.72998,753.72998,753.72998,753.72998,577.08002,577.08002,577.08002,577.08002,591.71997,591.71997,591.71997,591.71997,759.52002,759.52002,759.52002,759.52002,NaN,NaN,NaN,NaN,NaN
2016-04-08T09:00:00+07:00,759.16998,759.16998,759.16998,759.16998,578.32001,578.32001,578.32001,578.32001,591.40002,591.40002,591.40002,591.40002,765.34998,765.34998,765.34998,765.34998,NaN,NaN,NaN,NaN,NaN
2016-04-11T09:00:00+07:00,767.95001,767.95001,767.95001,767.95001,586.44,586.44,586.44,586.44,599.38,599.38,599.38,599.38,773.85999,773.85999,773.85999,773.85999,NaN,NaN,NaN,NaN,NaN
2016-04-12T09:00:00+07:00,768.52002,768.52002,768.52002,768.52002,587.78003,587.78003,587.78003,587.78003,600.08002,600.08002,600.08002,600.08002,775.70001,775.70001,775.70001,775.70001,NaN,NaN,NaN,NaN,NaN
2016-04-13T09:00:00+07:00,769.71002,769.71002,769.71002,769.71002,585.59998,585.59998,585.59998,585.59998,597.17999,597.17999,597.17999,597.17999,775.25,775.25,775.25,775.25,NaN,NaN,NaN,NaN,NaN
2016-04-14T09:00:00+07:00,776.31,776.31,776.31,776.31,587.19,587.19,587.19,587.19,599.39001,599.39001,599.39001,599.39001,774.88,774.88,774.88,774.88,NaN,NaN,NaN,NaN,NaN
2016-04-15T09:00:00+07:00,774.25,774.25,774.25,774.25,585.91998,585.91998,585.91998,585.91998,597.60999,597.60999,597.60999,597.60999,774.59998,774.59998,774.59998,774.59998,NaN,NaN,NaN,NaN,NaN
2016-04-19T09:00:00+07:00,762.28003,762.28003,762.28003,762.28003,575.85999,575.85999,575.85999,575.85999,587.98999,587.98999,587.98999,587.98999,762.95001,762.95001,762.95001,762.95001,NaN,NaN,NaN,NaN,NaN
2016-04-20T09:00:00+07:00,757.35999,757.35999,757.35999,757.35999,576.38,576.38,576.38,576.38,588.60999,588.60999,588.60999,588.60999,764.71002,764.71002,764.71002,764.71002,NaN,NaN,NaN,NaN,NaN
2016-04-21T09:00:00+07:00,763.15997,763.15997,763.15997,763.15997,582.34998,582.34998,582.34998,582.34998,596.19,596.19,596.19,596.19,766.39001,766.39001,766.39001,766.39001,NaN,NaN,NaN,NaN,NaN
2016-04-22T09:00:00+07:00,771.23999,771.23999,771.23999,771.23999,593.66998,593.66998,593.66998,593.66998,609.09998,609.09998,609.09998,609.09998,773.25,773.25,773.25,773.25,NaN,NaN,NaN,NaN,NaN
2016-04-25T09:00:00+07:00,774.21002,774.21002,774.21002,774.21002,592.56,592.56,592.56,592.56,607.84998,607.84998,607.84998,607.84998,776.70001,776.70001,776.70001,776.70001,NaN,NaN,NaN,NaN,NaN
2016-04-26T09:00:00+07:00,776.98999,776.98999,776.98999,776.98999,598.33002,598.33002,598.33002,598.33002,615.12,615.12,615.12,615.12,777.98999,777.98999,777.98999,777.98999,NaN,NaN,NaN,NaN,NaN
2016-04-27T09:00:00+07:00,777.45001,777.45001,777.45001,777.45001,594.92999,594.92999,594.92999,594.92999,611.19,611.19,611.19,611.19,777.08002,777.08002,777.08002,777.08002,NaN,NaN,72.02539295813826,NaN,NaN
2016-04-28T09:00:00+07:00,775.02002,775.02002,775.02002,775.02002,592.65997,592.65997,592.65997,592.65997,609.34998,609.34998,609.34998,609.34998,773.78003,773.78003,773.78003,773.78003,NaN,NaN,69.34642334509664,NaN,NaN
2016-04-29T09:00:00+07:00,781.08002,781.08002,781.08002,781.08002,598.02002,598.02002,598.02002,598.02002,615.09998,615.09998,615.09998,615.09998,779.92999,779.92999,779.92999,779.92999,NaN,NaN,72.13040069152515,NaN,NaN
2016-05-04T09:00:00+07:00,786.04999,786.04999,786.04999,786.04999,599.5,599.5,599.5,599.5,616.45001,616.45001,616.45001,616.45001,783.47998,783.47998,783.47998,783.47998,NaN,NaN,74.19992855003026,66.66666666666667,NaN
2016-05-05T09:00:00+07:00,784.48999,784.48999,784.48999,784.48999,601.62,601.62,601.62,601.62,618.62,618.62,618.62,618.62,786.15002,786.15002,786.15002,786.15002,NaN,NaN,72.38302123635737,87.52168287346912,NaN
2016-05-06T09:00:00+07:00,779,779,779,779,603.29999,603.29999,603.29999,603.29999,621.54999,621.54999,621.54999,621.54999,782.44,782.44,782.44,782.44,NaN,NaN,66.23612552470115,54.18834954013579,69.45889969342386
2016-05-09T09:00:00+07:00,771.37,771.37,771.37,771.37,601.16998,601.16998,601.16998,601.16998,618.31,618.31,618.31,618.31,782.21002,782.21002,782.21002,782.21002,NaN,NaN,58.76668612958317,20.855016206802457,54.18834954013578
2016-05-10T09:00:00+07:00,768.53998,768.53998,768.53998,768.53998,600.62,600.62,600.62,600.62,618.64001,618.64001,618.64001,618.64001,779,779,779,779,NaN,NaN,56.23366324572601,0,25.014455248979406
2016-05-11T09:00:00+07:00,774.79999,774.79999,774.79999,774.79999,608.02002,608.02002,608.02002,608.02002,626.21002,626.21002,626.21002,626.21002,786.20001,786.20001,786.20001,786.20001,NaN,NaN,60.30905665291641,7.561195641133133,9.472070615978522
2016-05-12T09:00:00+07:00,775.08002,775.08002,775.08002,775.08002,608.07001,608.07001,608.07001,608.07001,626.28998,626.28998,626.28998,626.28998,786.92999,786.92999,786.92999,786.92999,NaN,NaN,60.48630865967775,15.451252073605167,7.670815904912757
2016-05-13T09:00:00+07:00,770.90002,770.90002,770.90002,770.90002,606.28003,606.28003,606.28003,606.28003,624.16998,624.16998,624.16998,624.16998,786.09003,786.09003,786.09003,786.09003,NaN,NaN,56.43491869373867,15.824647145988315,12.945698286908863
